Pen,Page,Bull_Name,Tattoo,Breed,DOB,Registration_Number,CED,BW,WW,YW,RADG,DMI,YH,SC,Doc,HP,CEM,Milk,MW,DollarEN,MH,CW,Marb,Re,Fat,DollarM,DollarB,DollarC,DollarW,DollarW_Rank,DollarC_Rank,DollarB_Rank,DollarM_Rank,DollarEN_Rank,YW_Rank,ACC_CED,ACC_BW,ACC_WW,ACC_YW,ACC_RADG,ACC_DMI,ACC_YH,ACC_SC,ACC_Doc,ACC_HP,ACC_CEM,ACC_Milk,ACC_MW,ACC_MH,ACC_CW,ACC_Marb,ACC_RE,ACC_Fat
1,1,NOBLE M070,070M,Angus,2024-07-06,20446972,11.0,-0.2,75.0,144.0,0.33,0.91,0.8,1.92,21.0,12.7,2.0,49.0,54.0,-22.06,0.1,101.0,2.4,1.14,-0.042,76.94,322.89,469.31,87.42,81.0,100.0,100.0,54.0,45.0,51.5,0.47,0.5,0.5,0.39,0.22,0.5,0.5,0.34,0.42,0.49,0.38,0.42,0.39,0.4,0.32,0.5,0.5,0.29
1,1,RAMBO M048,048M,Angus,2024-04-30,21212242,4.0,-0.6,83.0,166.0,0.21,-0.21,0.7,1.52,8.0,20.1,16.0,29.0,29.0,0.66,0.8,64.0,2.34,1.1,0.047,113.42,273.02,448.38,79.66,58.0,99.0,95.0,85.0,86.0,80.0,0.48,0.5,0.5,0.19,0.5,0.5,0.5,0.5,0.46,0.5,0.42,0.36,0.5,0.46,0.32,0.29,0.5,0.46
1,1,CHANCELLOR M029,029M,Angus,2024-10-14,21650972,13.0,-2.1,65.0,133.0,0.27,0.14,-0.7,1.28,20.0,11.7,17.0,45.0,44.0,-21.42,-1.2,85.0,2.46,0.99,-0.045,75.11,309.7,442.37,80.22,60.0,98.0,98.0,51.0,48.0,42.0,0.5,0.28,0.3,0.33,0.44,0.41,0.49,0.44,0.34,0.4,0.5,0.43,0.5,0.33,0.47,0.5,0.35,0.49
1,1,TURBO M050,050M,Angus,2024-10-12,20031455,13.0,-0.7,92.0,181.0,0.3,0.72,1.2,0.63,22.0,5.4,11.0,29.0,59.0,-16.94,-0.2,94.0,2.33,1.02,-0.006,78.21,305.34,438.01,89.7,85.0,97.0,97.0,55.0,56.0,93.0,0.48,0.48,0.47,0.5,0.46,0.47,0.41,0.5,0.5,0.35,0.41,0.39,0.4,0.4,0.5,0.38,0.41,0.48
1,2,ECLIPSE M097,097M,Angus,2024-08-27,23080373,6.0,-1.4,95.0,148.0,0.29,-0.21,0.1,0.85,43.0,20.6,7.0,39.0,-34.0,26.38,0.7,55.0,1.65,0.58,0.08,158.6,209.84,424.36,105.67,99.0,96.0,73.0,100.0,100.0,59.5,0.5,0.19,0.34,0.36,0.5,0.5,0.5,0.41,0.46,0.5,0.39,0.34,0.5,0.39,0.5,0.5,0.5,0.37
1,2,MAGNUS M069,069M,Angus,2024-06-01,23394222,10.0,-0.8,98.0,107.0,0.26,0.87,-0.0,1.24,33.0,21.5,22.0,17.0,17.0,11.78,0.1,69.0,1.25,1.44,0.113,138.86,181.37,416.65,84.9,75.0,95.0,52.0,97.0,94.0,14.0,0.5,0.46,0.41,0.33,0.4,0.49,0.32,0.5,0.33,0.36,0.24,0.47,0.47,0.49,0.42,0.41,0.5,0.27
1,2,CAESAR M033,033M,Angus,2024-08-19,22804700,1.0,3.1,87.0,85.0,0.28,1.14,1.0,1.88,20.0,19.1,7.0,41.0,42.0,-15.6,0.9,107.0,1.35,0.57,0.027,111.61,225.08,415.45,82.26,64.0,94.0,78.0,82.0,58.0,3.0,0.18,0.37,0.42,0.24,0.38,0.5,0.44,0.43,0.35,0.47,0.5,0.41,0.5,0.48,0.32,0.5,0.47,0.4
1,2,ATLAS M031,031M,Angus,2024-05-20,20044843,4.0,1.1,90.0,117.0,0.35,1.32,1.1,2.01,21.0,21.1,17.0,33.0,11.0,3.88,-0.0,107.0,0.83,0.52,0.067,140.08,203.05,412.78,88.46,83.0,93.0,68.0,98.0,88.0,26.0,0.28,0.27,0.32,0.5,0.44,0.33,0.3,0.24,0.35,0.33,0.2,0.46,0.15,0.3,0.21,0.43,0.45,0.38
1,3,ZEUS M056,056M,Angus,2024-08-10,22380133,16.0,3.5,62.0,116.0,0.25,2.63,0.1,1.51,6.0,9.6,12.0,26.0,41.0,-5.61,0.8,68.0,2.59,1.12,0.024,68.46,262.64,411.14,55.64,16.0,92.0,93.0,42.0,75.0,22.5,0.45,0.5,0.4,0.32,0.34,0.44,0.48,0.5,0.31,0.43,0.38,0.38,0.41,0.3,0.36,0.5,0.27,0.29
1,3,INTERSTATE M079,079M,Angus,2024-08-19,20947826,1.0,1.3,93.0,167.0,0.22,2.06,0.8,0.5,35.0,12.9,14.0,27.0,37.0,-6.42,0.6,84.0,1.84,0.35,0.018,111.78,229.89,409.6,95.42,91.0,91.0,80.0,83.0,73.0,81.5,0.49,0.5,0.5,0.47,0.34,0.47,0.5,0.47,0.24,0.5,0.5,0.25,0.36,0.5,0.5,0.44,0.4,0.41
